File1,File2,RMSD
1p5w.pdb,6pwa.pdb,100
1p5w.pdb,2qa0.pdb,100
1p5w.pdb,1s58.pdb,100
1p5w.pdb,4iov.pdb,100
1p5w.pdb,4qc8.pdb,100
1p5w.pdb,1p5y.pdb,100
1p5w.pdb,1fpv.pdb,100
1p5w.pdb,1c8h.pdb,100
1p5w.pdb,1k3v.pdb,100
1p5w.pdb,1ijs.pdb,100
1p5w.pdb,1c8g.pdb,100
1p5w.pdb,1c8d.pdb,100
1p5w.pdb,7m3o.pdb,100
1p5w.pdb,1z14.pdb,100
6pwa.pdb,2qa0.pdb,0.8693720468846079
6pwa.pdb,1s58.pdb,18.12241103696011
6pwa.pdb,4iov.pdb,9.506015119969351
6pwa.pdb,4qc8.pdb,21.36742922553713
6pwa.pdb,1p5y.pdb,31.519217846888132
6pwa.pdb,1fpv.pdb,33.05252386189666
6pwa.pdb,1c8h.pdb,31.056783576294322
6pwa.pdb,1k3v.pdb,31.780437778741064
6pwa.pdb,1ijs.pdb,100
6pwa.pdb,1c8g.pdb,33.06425141416028
6pwa.pdb,1c8d.pdb,33.15666560373885
6pwa.pdb,7m3o.pdb,27.190231043515887
6pwa.pdb,1z14.pdb,33.11730090008046
2qa0.pdb,1s58.pdb,17.85552620400505
2qa0.pdb,4iov.pdb,9.402179493062318
2qa0.pdb,4qc8.pdb,21.03090988930875
2qa0.pdb,1p5y.pdb,31.104815619311164
2qa0.pdb,1fpv.pdb,32.623023172363595
2qa0.pdb,1c8h.pdb,30.65187590536836
2qa0.pdb,1k3v.pdb,31.35846252287069
2qa0.pdb,1ijs.pdb,100
2qa0.pdb,1c8g.pdb,32.63429124197409
2qa0.pdb,1c8d.pdb,32.72872159912247
2qa0.pdb,7m3o.pdb,26.835928963119805
2qa0.pdb,1z14.pdb,32.69002473256643
1s58.pdb,4iov.pdb,21.959306136563654
1s58.pdb,4qc8.pdb,21.706078478365164
1s58.pdb,1p5y.pdb,26.48084766028666
1s58.pdb,1fpv.pdb,27.915166107177743
1s58.pdb,1c8h.pdb,26.13527643748274
1s58.pdb,1k3v.pdb,26.9409917036985
1s58.pdb,1ijs.pdb,100
1s58.pdb,1c8g.pdb,27.92429944989855
1s58.pdb,1c8d.pdb,28.020473165352165
1s58.pdb,7m3o.pdb,22.474026000047893
1s58.pdb,1z14.pdb,28.06555544930639
4iov.pdb,4qc8.pdb,21.986634725397188
4iov.pdb,1p5y.pdb,33.09609776484981
4iov.pdb,1fpv.pdb,34.29823859164108
4iov.pdb,1c8h.pdb,32.74626071021702
4iov.pdb,1k3v.pdb,33.130597084765085
4iov.pdb,1ijs.pdb,100
4iov.pdb,1c8g.pdb,34.29877932106056
4iov.pdb,1c8d.pdb,34.41107421723734
4iov.pdb,7m3o.pdb,29.274066133835383
4iov.pdb,1z14.pdb,34.138724472882025
4qc8.pdb,1p5y.pdb,30.90812021577645
4qc8.pdb,1fpv.pdb,32.270463970451715
4qc8.pdb,1c8h.pdb,30.511250572512914
4qc8.pdb,1k3v.pdb,31.199815722993293
4qc8.pdb,1ijs.pdb,100
4qc8.pdb,1c8g.pdb,32.29664766728977
4qc8.pdb,1c8d.pdb,32.387850119757495
4qc8.pdb,7m3o.pdb,28.626987714609296
4qc8.pdb,1z14.pdb,32.369368445721584
1p5y.pdb,1fpv.pdb,7.709038627781343
1p5y.pdb,1c8h.pdb,3.443304845462572
1p5y.pdb,1k3v.pdb,6.434570523317917
1p5y.pdb,1ijs.pdb,100
1p5y.pdb,1c8g.pdb,7.754633394985194
1p5y.pdb,1c8d.pdb,7.765298592620131
1p5y.pdb,7m3o.pdb,16.86111608102928
1p5y.pdb,1z14.pdb,7.174727246522127
1fpv.pdb,1c8h.pdb,9.703557140920239
1fpv.pdb,1k3v.pdb,9.038124258261616
1fpv.pdb,1ijs.pdb,100
1fpv.pdb,1c8g.pdb,0.89864616751777
1fpv.pdb,1c8d.pdb,0.5448413968882574
1fpv.pdb,7m3o.pdb,20.131224659422614
1fpv.pdb,1z14.pdb,6.803179906592402
1c8h.pdb,1k3v.pdb,6.645801116917845
1c8h.pdb,1ijs.pdb,100
1c8h.pdb,1c8g.pdb,9.747249906985498
1c8h.pdb,1c8d.pdb,9.760382690966727
1c8h.pdb,7m3o.pdb,15.775263189110593
1c8h.pdb,1z14.pdb,8.542225434718464
1k3v.pdb,1ijs.pdb,100
1k3v.pdb,1c8g.pdb,9.086066129467019
1k3v.pdb,1c8d.pdb,9.095975292771886
1k3v.pdb,7m3o.pdb,16.434137940835488
1k3v.pdb,1z14.pdb,6.103196922985634
1ijs.pdb,1c8g.pdb,100
1ijs.pdb,1c8d.pdb,100
1ijs.pdb,7m3o.pdb,100
1ijs.pdb,1z14.pdb,100
1c8g.pdb,1c8d.pdb,0.9535177221309296
1c8g.pdb,7m3o.pdb,20.121103312701667
1c8g.pdb,1z14.pdb,6.8677199352623814
1c8d.pdb,7m3o.pdb,20.203787221729357
1c8d.pdb,1z14.pdb,6.86124377701093
7m3o.pdb,1z14.pdb,18.651641658753068
