Pose,RMSD (nm)
1,3.5238663e-05
2,0.0
3,3.5238663e-05
4,3.5238663e-05
5,0.0
6,5.571722e-05
7,7.047733e-05
8,5.571722e-05
9,6.1035156e-05
10,7.047733e-05
11,4.9835e-05
12,5.571722e-05
13,6.1035156e-05
14,6.1035156e-05
15,5.571722e-05
16,2.49175e-05
17,4.9835e-05
18,4.3158372e-05
19,2.49175e-05
20,5.571722e-05
21,4.3158372e-05
22,2.49175e-05
23,5.571722e-05
24,3.5238663e-05
25,2.49175e-05
26,4.3158372e-05
27,4.9835e-05
28,4.9835e-05
29,6.1035156e-05
30,4.3158372e-05
31,4.9835e-05
32,7.047733e-05
33,4.3158372e-05
34,4.9835e-05
35,2.49175e-05
36,6.1035156e-05
37,4.3158372e-05
38,5.571722e-05
39,4.3158372e-05
40,6.59255e-05
41,6.1035156e-05
42,4.9835e-05
43,2.49175e-05
44,0.0
45,5.571722e-05
46,3.5238663e-05
47,4.9835e-05
48,4.9835e-05
49,4.3158372e-05
50,4.9835e-05
51,4.9835e-05
52,9.650506e-05
53,6.1035156e-05
54,4.9835e-05
55,7.8796045e-05
56,7.8796045e-05
57,5.571722e-05
58,4.9835e-05
59,4.3158372e-05
60,5.571722e-05
61,5.571722e-05
62,0.0
63,4.3158372e-05
64,5.571722e-05
65,6.1035156e-05
66,7.8796045e-05
67,4.9835e-05
68,4.9835e-05
69,2.49175e-05
70,4.3158372e-05
71,5.571722e-05
72,6.1035156e-05
73,5.571722e-05
74,5.571722e-05
75,4.3158372e-05
76,5.571722e-05
77,6.1035156e-05
78,6.59255e-05
79,8.264199e-05
80,4.9835e-05
81,6.59255e-05
82,6.1035156e-05
83,4.9835e-05
84,5.571722e-05
85,4.3158372e-05
86,2.49175e-05
87,0.0
88,6.1035156e-05
89,7.8796045e-05
90,8.6316744e-05
91,4.3158372e-05
92,4.3158372e-05
93,3.5238663e-05
94,3.5238663e-05
95,4.3158372e-05
96,6.59255e-05
97,8.6316744e-05
98,5.571722e-05
99,4.3158372e-05
