Pose,RMSD (nm),CNN pose score,CNN affinity
1,3.5238663e-05,0.9216,2.183
2,0.0,0.9214,2.143
3,3.5238663e-05,0.921,2.142
4,3.5238663e-05,0.9167,2.109
5,0.0,0.9162,2.35
6,5.571722e-05,0.9085,2.137
7,7.047733e-05,0.9076,2.117
8,5.571722e-05,0.9038,2.377
9,6.1035156e-05,0.9017,2.291
10,7.047733e-05,0.9016,2.074
11,4.9835e-05,0.9007,2.143
12,5.571722e-05,0.8998,2.021
13,6.1035156e-05,0.8998,2.297
14,6.1035156e-05,0.8989,2.116
15,5.571722e-05,0.8987,2.438
16,2.49175e-05,0.8983,2.198
17,4.9835e-05,0.8982,2.666
18,4.3158372e-05,0.8981,2.275
19,2.49175e-05,0.8979,2.209
20,5.571722e-05,0.8973,2.306
21,4.3158372e-05,0.8964,2.055
22,2.49175e-05,0.896,2.088
23,5.571722e-05,0.893,2.22
24,3.5238663e-05,0.8927,2.271
25,2.49175e-05,0.8922,2.621
26,4.3158372e-05,0.8922,2.419
27,4.9835e-05,0.8909,2.203
28,4.9835e-05,0.8896,2.066
29,6.1035156e-05,0.8881,2.252
30,4.3158372e-05,0.8872,2.26
31,4.9835e-05,0.886,2.451
32,7.047733e-05,0.8843,2.049
33,4.3158372e-05,0.8841,2.132
34,4.9835e-05,0.8836,2.446
35,2.49175e-05,0.8834,2.147
36,6.1035156e-05,0.8829,2.275
37,4.3158372e-05,0.8825,2.235
38,5.571722e-05,0.8818,2.231
39,4.3158372e-05,0.8799,1.939
40,6.59255e-05,0.879,2.498
41,6.1035156e-05,0.8772,2.377
42,4.9835e-05,0.8761,2.284
43,2.49175e-05,0.8759,2.389
44,0.0,0.8751,2.29
45,5.571722e-05,0.8741,2.362
46,3.5238663e-05,0.8734,2.042
47,4.9835e-05,0.8728,2.378
48,4.9835e-05,0.872,2.864
49,4.3158372e-05,0.8707,2.174
50,4.9835e-05,0.8671,2.282
51,4.9835e-05,0.8666,2.312
52,9.650506e-05,0.8642,2.752
53,6.1035156e-05,0.8633,2.289
54,4.9835e-05,0.8618,2.405
55,7.8796045e-05,0.8604,2.556
56,7.8796045e-05,0.8603,2.496
57,5.571722e-05,0.8601,2.095
58,4.9835e-05,0.8593,2.963
59,4.3158372e-05,0.8563,2.568
60,5.571722e-05,0.8562,2.235
61,5.571722e-05,0.8562,2.225
62,0.0,0.8559,2.441
63,4.3158372e-05,0.8527,2.483
64,5.571722e-05,0.8523,2.091
65,6.1035156e-05,0.8523,3.486
66,7.8796045e-05,0.8517,3.309
67,4.9835e-05,0.8485,2.281
68,4.9835e-05,0.847,2.694
69,2.49175e-05,0.8448,2.328
70,4.3158372e-05,0.844,2.017
71,5.571722e-05,0.8439,2.669
72,6.1035156e-05,0.8425,2.138
73,5.571722e-05,0.8418,2.184
74,5.571722e-05,0.8409,2.933
75,4.3158372e-05,0.8398,2.359
76,5.571722e-05,0.8376,2.785
77,6.1035156e-05,0.837,2.214
78,6.59255e-05,0.836,3.464
79,8.264199e-05,0.8344,2.708
80,4.9835e-05,0.8342,2.258
81,6.59255e-05,0.834,2.118
82,6.1035156e-05,0.8313,2.685
83,4.9835e-05,0.831,2.727
84,5.571722e-05,0.8302,2.493
85,4.3158372e-05,0.8302,3.043
86,2.49175e-05,0.8269,2.378
87,0.0,0.8269,3.304
88,6.1035156e-05,0.8218,2.768
89,7.8796045e-05,0.8213,2.968
90,8.6316744e-05,0.8203,2.792
91,4.3158372e-05,0.8125,2.407
92,4.3158372e-05,0.8122,3.211
93,3.5238663e-05,0.8104,2.172
94,3.5238663e-05,0.8073,3.55
95,4.3158372e-05,0.8042,3.422
96,6.59255e-05,0.7919,2.372
97,8.6316744e-05,0.7429,3.365
98,5.571722e-05,0.7216,2.686
99,4.3158372e-05,,
